,Price,Address,Floor,Bathroom,Bedroom,Land,Road,Land Mark
1036,22000000.0,"Chunikhel (Budhanilkantha), Kathmandu",2.5,3,8,1026.75,13.0,0.3.0.0
1042,90000000.0,"Chundevi (Maharajgunj), Kathmandu",2.5,7,7,3764.75,13.0,Near by Chundevi temple
1046,25000000.0,"Chovar height 3s restaurant, F22, Itagol, Chobhar, Kirtipur, Kathmandu, Bagmati Pradesh, 13775, Nepal",2.5,3,5,1369,13.0,Ploting
1047,39000000.0,"mephi, Mhepi, Kathmandu",2.5,4,5,1197.875,12.0,Mhepi Mandir
1048,48000000.0,"Milan Marg, मिलन टोल,",2.5,3,5,3422.5,20.0,jpt
1053,31000000.0,"Central Business Park, Thapathali Marg, Thapathali, Kathmandu, Kathmandu Metropolitan City, Kathmandu, Bagmati Pradesh, 44617, Nepal",2.5,3,6,1283.43,13.0,nayabasti
1056,59500000.0,"Dadhikot (Ananta), Bhaktapur",2.5,6,5,3422.5,13.0,1 km from Naya Thimi
1060,20500000.0,"chandagiri, Chandragiri, Kathmandu",2.5,3,4,1060.975,13.0,Chandragiri pany tanky
1066,26300000.0,"Dallu, Kimdol, Kathmandu, Bagmati Pradesh, 44620, Nepal",2.5,3,3,965.9924,20.0,Isuzu Dealer
1067,22000000.0,"Devkota Chowk, Rupandehi (Bhairahawa)",2.5,4,4 and 5,2738,20.0,Bodhi Red Sun Hotel
1072,75000000.0,"Dhobighat, Lalitpur",2.5,4,5,3080.25,13.0,Dhobighat
1074,18000000.0,"Dharmasthali, Tarakeshwar Municipality, Kathmandu, Bagmati Pradesh, 19975, Nepal",2.5,3,6,1026.75,13.0,Tarkeshor basnettar
1082,34000000.0,"Dhapasi (Tokha), Kathmandu",2.5,4,6-May,1283.4375,13.0,Grande International Hospital
1084,44000000.0,"Dhapasi (Tokha), Kathmandu",2.5,4,7,1711.25,13.0,Nearby Lord Party Palace
1089,29500000.0,"Dhapakhel, Lalitpur",2.5,3,5,1369,13.0,Limrok School
1104,37000000.0,"Sunakothi, Lalitpur",2.5,3,4,1812.6286,20.0,Sunakothi Lalitpur
1105,25000000.0,"Sunakothi, Lalitpur",2.5,2,3,941.1875,20.0,Sunakothi Lalitpur
1110,21000000.0,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",2.5,3,6,2464.2,12.0,"Manakamana Mandir, Godawari"
1113,105000000.0,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",2.5,4,5,4107,13.0,Balkumari
1114,60000000.0,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",2.5,5,5,1711.25,13.0,Nakkhu
1115,33500000.0,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",2.5,4,8,1711.25,13.0,"Siddhipur, Sanagaun Scholl Chowk"
1116,42500000.0,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",2.5,5,9,1437.45,13.0,Ullens School
1118,45000000.0,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",2.5,5,4,1369,13.0,Hattiban Colony
1119,29500000.0,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",2.5,5,6,1369,13.0,"Imadol Main Highway, Sanagaun"
1120,27000000.0,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",2.5,4,4,1026.75,13.0,Harisiddhi Petrol Pump
1121,22000000.0,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",2.5,4,5,1026.75,13.0,Mahalaxmi College
1122,27000000.0,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",2.5,4,4,1026.75,13.0,"Imadol Petrol Pump, Gwarkhu"
1123,27500000.0,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",2.5,4,5,1026.75,13.0,"KRISHNA MANDIR IMADOL, TIKATHALI"
1124,25500000.0,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",2.5,4,5,1026.75,13.0,"Krishna Mandir Chowk,"
1125,33000000.0,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",2.5,4,6,1026.75,13.0,Imadol Petrol Pump
1127,33000000.0,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",2.5,4,5,1026.75,13.0,"Tempo Chowk, Imadol Bhatbhateni"
1128,24000000.0,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",2.5,4,6,1060.975,13.0,Don Bosco School
