price,LAND AREA,HOUSE AREA,,BEDS,LIVING,KITCHEN,BATHROOMS,FLOORS,LOCATION,ROAD DESCRIPTION,FACED TOWARDS,CATEGORY,TYPE,CODE,UPDATE,VIEWS,FURNISHING,url,MAIN ROAD DISTANCE,ROAD TO HOUSE,FLAT AREA,PARKING AREA
"Rs. 1,97,00,000 (Negotiable)
(1 crore 97 lakh)",0-3-0-0,,,4,3,3,4,3.5,"NEAR GOLFUTAR, KATHMANDU, NEPAL",15,NORTH-EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB05703,5 YEARS AGO,3217,SEMI FURNISHED,https://www.gharbazar.com/property/details/house-at-sundarbasti-5703,600M,20,,
"Rs. 68,00,000 (Negotiable)
(Sixty eight lakh )",1-1-2-0,,,,,,,,"DEUBA CHWOK, KATHMANDU, NEPAL",8M,NORTH,LAND (RESIDENTIAL),NONE,GB10695,3 DAYS AGO,366,,https://www.gharbazar.com/property/details/nature-indulged-residential-plots-in-budhanilkantha-for-sale-10695,,,,
,0-6-2-3,,,42,,,13,6,,"13 FT ROAD FROM EAST, 13FT FROM SOUTH, AND 28 FT FROM NORTH",NORTH-EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB03049,2 YEARS AGO,3612,NOT FURNISHED,https://www.gharbazar.com/property/details/house-at-mahadevsthan-3049,,,,
"Rs. 6,00,000 (Negotiable)
(4 Table)",0-,,,,,,,,"KALANKI, KATHMANDU, NEPAL",13 FEET,NONE,LAND (RESIDENTIAL),NONE,GB10094,7 MONTHS AGO,73,,https://www.gharbazar.com/property/details/land-at-kalanki-10094,,,,
"Rs. 26,00,000 (Negotiable)
(Twenty six lakh )",0-3-1-2,,,,,,,,"THANKOT, CHANDRAGIRI, KATHMANDU, NEPAL",16 FEET,NONE,LAND (RESIDENTIAL),NONE,GB09971,8 MONTHS AGO,75,,https://www.gharbazar.com/property/details/land-at-thankot-chandragiri-9971,,,,
,5000 SQUARE FEET,5000 SQUARE FEET,,,,,4,,"AMBE COMPLEX, KATHMANDU, NEPAL",32,EAST,COMMERCIAL BUILDING (RESIDENTIAL),PILLAR SYSTEM,GB05301,5 YEARS AGO,5088,SEMI FURNISHED,https://www.gharbazar.com/property/details/commercial-building-at-teku-5301,,,,
,,,,6,1,1,1,2,"KAWASOTI, NAWALPARASI, NEPAL",20 FT.,WEST,HOUSE (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB02737,4 YEARS AGO,1761,NOT FURNISHED,https://www.gharbazar.com/property/details/house-at-kawasoti-2737,,,,
"Rs. 2,40,00,000 (Negotiable)
(Two Crores Forty Lakhs )",0-3-1-0,,,4,2,2,3,2.5,"NEAR MATRIBHUMI SCHOOL, BHAKTAPUR, NEPAL",13 FT,SOUTH,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB05692,5 YEARS AGO,3252,NOT FURNISHED,https://www.gharbazar.com/property/details/house-at-lokanthali-5692,600M,20,,
"Rs. 2,50,00,000 (Negotiable)
(Two crore fifty lakh )",0-6-0-0,,,5,2,3,3,2.5,"NEAR LA SCHOOL, SATDOBATO, LALITPUR, NEPAL",10 FT,NORTH,BUNGALOW (RESIDENTIAL),PILLAR SYSTEM,GB02815,4 YEARS AGO,5332,SEMI FURNISHED,https://www.gharbazar.com/property/details/bungalow-at-satdobato-2815,,ABOUT 100 FEET FROM PEACH ROAD. ABOUT 350 METERS FROM MAIN ROAD.,,
"Rs. 85,00,000 (Negotiable)
(Eighty five lakh )",0-6-2-0,,,,,,,,"CHHOREPATAN, KASKI, NEPAL",20 FEET,NONE,LAND (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB10232,5 MONTHS AGO,37,,https://www.gharbazar.com/property/details/land-at-chhorepatan-10232,,,,
"Rs. 1,50,00,000 (Negotiable)
(1 crore 50 lakh)",0-0-3-2,,,,,,,5,,,SOUTH-EAST,HOUSE (COMMERCIAL),PILLAR SYSTEM,GB04554,6 YEARS AGO,2602,NOT FURNISHED,https://www.gharbazar.com/property/details/house-at-bagbazar-4554,,,,
"Rs. 2,95,00,000 (Negotiable)
(Two crore ninety five lakh )",0-4-0-0,,,6,3,3,3,3,"PEPSICOLA, KADAGHARI, KATHMANDU, NEPAL",13 FEET,SOUTH,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB09973,8 MONTHS AGO,140,FULLY FURNISHED,https://www.gharbazar.com/property/details/house-at-pepsicola-kadaghari-9973,,BACK SIDE OF LOUMAS PHARMACY 13 FIT ROAD,,
"Rs. 4,10,00,000 (Negotiable)
(Four crore ten lakh )",0-6-0-0,2700 SQUARE FEET,,5,1,1,5,2.5,"BUDHANILKANTHA, KATHMANDU, NEPAL",13 FT,SOUTH,BUNGALOW (RESIDENTIAL),PILLAR SYSTEM,GB05609,3 YEARS AGO,34470,FULLY FURNISHED,https://www.gharbazar.com/property/details/bungalow-at-pasikot-5609,500M,20,,
"Rs. 25,00,000
(Twenty five lakh )",0-3-0-0,,,,,,,,"JHAUKHEL ,BHAKTAPUR, KATHMANDU, NEPAL",20FT/13FT,NONE,LAND (RESIDENTIAL),PILLAR SYSTEM,GB10718,1 MONTH AGO,31,,https://www.gharbazar.com/property/details/land-at-jhaukhel-bhaktapur-10718,,500M FROM WADA KARYALAYA,,
